id,name,role,unit,status,photo,equipment
op_evento_publico_019,Tomas Herrera,tecnico_drones,team_evento_publico_010204,active,https://placehold.co/300x300?text=op_evento_publico_019,control_dron;gps_tracker;radio;tablet_tactica
op_evento_publico_020,Silvia Iglesias,operador_CCTV,team_evento_publico_010205,active,https://placehold.co/300x300?text=op_evento_publico_020,gps_tracker;radio;terminal_video
op_evento_publico_021,David Ruiz,supervisor,team_evento_publico_010101,active,https://placehold.co/300x300?text=op_evento_publico_021,bodycam;gps_tracker;radio
op_evento_publico_022,Alicia Navarro,operador,team_evento_publico_010102,active,https://placehold.co/300x300?text=op_evento_publico_022,bodycam;gps_tracker;radio
op_evento_publico_023,Miguel Diaz,conductor,team_evento_publico_010103,active,https://placehold.co/300x300?text=op_evento_publico_023,bodycam;gps_tracker;radio
op_evento_publico_024,Beatriz Vega,tecnico_drones,team_evento_publico_010104,active,https://placehold.co/300x300?text=op_evento_publico_024,control_dron;gps_tracker;radio;tablet_tactica
op_evento_publico_025,Alvaro Castro,operador_CCTV,team_evento_publico_010105,active,https://placehold.co/300x300?text=op_evento_publico_025,gps_tracker;radio;terminal_video
op_evento_publico_026,Celia Serrano,supervisor,team_evento_publico_010201,standby,https://placehold.co/300x300?text=op_evento_publico_026,bodycam;gps_tracker;radio
op_evento_publico_027,Manuel Fuentes,operador,team_evento_publico_010202,active,https://placehold.co/300x300?text=op_evento_publico_027,bodycam;gps_tracker;radio
op_evento_publico_028,Sara Santos,conductor,team_evento_publico_010203,active,https://placehold.co/300x300?text=op_evento_publico_028,bodycam;gps_tracker;radio
op_evento_publico_029,Victor Lopez,tecnico_drones,team_evento_publico_010204,active,https://placehold.co/300x300?text=op_evento_publico_029,control_dron;gps_tracker;radio;tablet_tactica
op_evento_publico_030,Laura Ortega,operador_CCTV,team_evento_publico_010205,active,https://placehold.co/300x300?text=op_evento_publico_030,gps_tracker;radio;terminal_video
op_evento_publico_031,Carlos Cano,supervisor,team_evento_publico_010101,active,https://placehold.co/300x300?text=op_evento_publico_031,bodycam;gps_tracker;radio
op_evento_publico_032,Lucia Romero,operador,team_evento_publico_010102,active,https://placehold.co/300x300?text=op_evento_publico_032,bodycam;gps_tracker;radio
op_evento_publico_033,Javier Nunez,conductor,team_evento_publico_010103,active,https://placehold.co/300x300?text=op_evento_publico_033,bodycam;gps_tracker;radio
op_evento_publico_034,Marta Rey,tecnico_drones,team_evento_publico_010104,on_break,https://placehold.co/300x300?text=op_evento_publico_034,control_dron;gps_tracker;radio;tablet_tactica
op_evento_publico_035,Sergio Gomez,operador_CCTV,team_evento_publico_010105,on_break,https://placehold.co/300x300?text=op_evento_publico_035,gps_tracker;radio;terminal_video
op_evento_publico_036,Ana Martinez,supervisor,team_evento_publico_010201,active,https://placehold.co/300x300?text=op_evento_publico_036,bodycam;gps_tracker;radio
op_evento_publico_037,Diego Pardo,operador,team_evento_publico_010202,active,https://placehold.co/300x300?text=op_evento_publico_037,bodycam;gps_tracker;radio
op_evento_publico_038,Elena Molina,conductor,team_evento_publico_010203,standby,https://placehold.co/300x300?text=op_evento_publico_038,bodycam;gps_tracker;radio
op_evento_publico_039,Raul Herrera,tecnico_drones,team_evento_publico_010204,active,https://placehold.co/300x300?text=op_evento_publico_039,control_dron;gps_tracker;radio;tablet_tactica
op_evento_publico_040,Nuria Iglesias,operador_CCTV,team_evento_publico_010205,active,https://placehold.co/300x300?text=op_evento_publico_040,gps_tracker;radio;terminal_video
op_evento_publico_041,Pablo Ruiz,supervisor,team_evento_publico_010101,standby,https://placehold.co/300x300?text=op_evento_publico_041,bodycam;gps_tracker;radio
op_evento_publico_042,Irene Navarro,operador,team_evento_publico_010102,active,https://placehold.co/300x300?text=op_evento_publico_042,bodycam;gps_tracker;radio
op_evento_publico_043,Hector Diaz,conductor,team_evento_publico_010103,active,https://placehold.co/300x300?text=op_evento_publico_043,bodycam;gps_tracker;radio
op_evento_publico_044,Paula Vega,tecnico_drones,team_evento_publico_010104,active,https://placehold.co/300x300?text=op_evento_publico_044,control_dron;gps_tracker;radio;tablet_tactica
op_evento_publico_045,Ruben Castro,operador_CCTV,team_evento_publico_010105,standby,https://placehold.co/300x300?text=op_evento_publico_045,gps_tracker;radio;terminal_video
op_evento_publico_046,Clara Serrano,supervisor,team_evento_publico_010201,active,https://placehold.co/300x300?text=op_evento_publico_046,bodycam;gps_tracker;radio
op_evento_publico_047,Adrian Fuentes,operador,team_evento_publico_010202,active,https://placehold.co/300x300?text=op_evento_publico_047,bodycam;gps_tracker;radio
op_evento_publico_048,Noelia Santos,conductor,team_evento_publico_010203,active,https://placehold.co/300x300?text=op_evento_publico_048,bodycam;gps_tracker;radio
op_evento_publico_049,Tomas Lopez,tecnico_drones,team_evento_publico_010204,standby,https://placehold.co/300x300?text=op_evento_publico_049,control_dron;gps_tracker;radio;tablet_tactica
op_evento_publico_050,Silvia Ortega,operador_CCTV,team_evento_publico_010205,active,https://placehold.co/300x300?text=op_evento_publico_050,gps_tracker;radio;terminal_video
